,region,level,match,playtime_hours,damage_round,kill_death_ratio,headshot_rate,winrate,win,kast,damage_roun,kills,death,assist,acs,kad_ratio,kill_round_ratio,first_blood,flawless_round,aces,round_win,agent1,agent1_role,agent1_hours,matches1,win_rate1,win_rate1,win_rate1,k/d1,adr1,acs1,average_ddealt_round1,best_map1,map1_wr,agent2,agent2_role,agent2_hours,matches2,win_rate2,win_rate2,win_rate2,k/d2,adr2,acs2,average_ddealt_round2,best_map2,map2_wr,agent3,agent3_role,agent3_hours,matches3,win_rate3,win_rate3,win_rate3,k/d3,adr3,acs3,average_ddealt_round3,best_map3,map3_wr,weapon_name1,weapon_type1,head_rate1,body_rate1,legs_rate1,kills1,weapon_name2,weapon_type2,head_rate2,body_rate2,legs_rate2,kills2,weapon_name3,weapon_type3,head_rate3,body_rate3,legs_rate3,kills3
0,ap,536.0,172.0,94.0,157.5,1.16,42.1,58.7,101.0,73.9,17.0,3148.0,2717.0,888.0,243.2,1.49,0.9,514.0,116.0,3.0,51.4,Clove,Controller,14.0,29.0,69.0,53.1,81.0,1.16,181.5,282.5,18.0,Lotus,86.0,Brimstone,Controller,8.6,16.0,43.8,62.0,64.0,1.17,158.0,248.2,16.0,Fracture,33.0,Tejo,Initiator,8.3,15.0,46.7,64.7,63.6,1.07,149.4,219.9,15.0,Abyss,75.0,Vandal,Assault Rifles,57.0,41.0,2.0,2135.0,Ghost,Sidearms,58.0,40.0,1.0,276.0,Sheriff,Sidearms,68.0,31.0,0.0,184.0
1,ap,710.0,145.0,84.0,165.9,1.45,36.5,53.8,78.0,74.6,43.0,2891.0,1993.0,611.0,254.7,1.76,0.9,312.0,113.0,7.0,50.6,Cypher,Sentinel,53.0,91.0,57.1,57.7,68.2,1.51,168.7,257.8,47.0,Split,78.0,Omen,Controller,13.0,24.0,62.5,20.0,68.2,1.5,172.6,269.0,50.0,Lotus,72.0,Killjoy,Sentinel,5.0,9.0,33.3,54.1,60.0,1.09,143.5,216.9,11.0,Fracture,67.0,Vandal,Assault Rifles,51.0,47.0,2.0,1997.0,Sheriff,Sidearms,48.0,49.0,3.0,239.0,Phantom,Assault Rifles,37.0,59.0,5.0,130.0
2,ap,394.0,171.0,97.0,148.5,1.19,29.2,58.5,100.0,74.5,11.0,3056.0,2569.0,700.0,232.7,1.46,0.8,405.0,147.0,5.0,53.5,Neon,Duelist,85.0,148.0,59.5,57.5,67.9,1.23,150.7,237.8,15.0,Lotus,68.0,Jett,Duelist,5.1,10.0,60.0,100.0,66.7,0.9,127.9,187.3,13.0,Abyss,67.0,Yoru,Duelist,2.4,5.0,20.0,100.0,66.7,0.93,136.2,198.8,3.0,Abyss,20.0,Vandal,Assault Rifles,43.0,54.0,3.0,1677.0,Stinger,SMGs,26.0,69.0,5.0,366.0,Ghost,Sidearms,51.0,48.0,1.0,253.0
3,ap,143.0,81.0,43.0,132.9,0.95,30.1,63.0,51.0,71.5,6.0,1183.0,1248.0,425.0,200.7,1.29,0.7,150.0,59.0,0.0,51.7,Clove,Controller,9.4,17.0,70.6,83.3,80.0,0.88,133.1,205.2,25.0,Lotus,75.0,Vyse,Sentinel,5.0,10.0,50.0,45.0,71.4,0.95,128.1,189.8,3.0,Pearl,100.0,Tejo,Initiator,5.4,10.0,60.0,55.6,69.2,0.9,129.1,190.2,3.0,Split,100.0,Vandal,Assault Rifles,44.0,53.0,3.0,708.0,Sheriff,Sidearms,55.0,43.0,2.0,105.0,Guardian,Assault Rifles,50.0,50.0,0.0,85.0
4,ap,272.0,113.0,65.0,145.3,1.14,35.3,55.8,63.0,72.1,13.0,1904.0,1669.0,494.0,220.2,1.44,0.8,258.0,96.0,3.0,52.1,Clove,Controller,8.7,15.0,53.3,61.9,76.9,1.17,162.2,251.0,12.0,Abyss,67.0,Neon,Duelist,7.2,13.0,53.8,50.0,76.5,1.01,130.5,204.2,7.0,Fracture,67.0,Reyna,Duelist,7.1,12.0,75.0,56.6,58.8,1.44,167.6,258.0,36.0,Pearl,100.0,Vandal,Assault Rifles,54.0,44.0,2.0,1090.0,Phantom,Assault Rifles,44.0,50.0,6.0,157.0,Sheriff,Sidearms,57.0,42.0,1.0,135.0
5,ap,834.0,155.0,83.0,164.4,1.1,21.7,60.6,94.0,74.5,7.0,2729.0,2476.0,1010.0,249.5,1.51,0.8,437.0,126.0,1.0,52.2,Phoenix,Duelist,37.0,68.0,64.7,61.8,70.8,1.18,173.8,264.6,1.0,Haven,58.0,Raze,Duelist,31.0,58.0,58.6,52.4,70.0,1.06,165.4,248.1,20.0,Bind,50.0,Cypher,Sentinel,11.0,21.0,52.4,66.7,61.9,1.0,132.9,202.6,2.0,Abyss,53.0,Vandal,Assault Rifles,38.0,57.0,5.0,1276.0,Phantom,Assault Rifles,35.0,60.0,5.0,403.0,Spectre,SMGs,24.0,69.0,7.0,130.0
6,ap,634.0,84.0,44.0,180.2,1.3,31.3,57.1,48.0,73.7,39.0,1702.0,1313.0,292.0,274.3,1.52,1.0,293.0,64.0,6.0,52.5,Jett,Duelist,29.0,54.0,53.7,57.3,83.3,1.25,173.5,266.3,32.0,Pearl,67.0,Raze,Duelist,9.8,20.0,70.0,50.0,64.3,1.35,194.3,289.2,54.0,Bind,82.0,Reyna,Duelist,3.2,6.0,50.0,,62.5,1.48,200.8,307.3,52.0,Pearl,50.0,Vandal,Assault Rifles,47.0,50.0,4.0,1091.0,Sheriff,Sidearms,40.0,58.0,2.0,142.0,Ghost,Sidearms,46.0,52.0,2.0,89.0
7,ap,261.0,111.0,65.0,159.9,1.13,34.0,55.9,62.0,76.9,14.0,2067.0,1827.0,867.0,239.9,1.61,0.9,151.0,91.0,3.0,50.9,Clove,Controller,63.0,108.0,57.4,57.4,64.3,1.13,160.2,240.6,14.0,Fracture,63.0,Reyna,Duelist,0.9,2.0,0.0,0.0,61.5,0.97,153.8,222.6,4.0,Haven,0.0,Sova,Initiator,0.5,1.0,0.0,0.0,58.8,1.14,137.2,196.0,9.0,Haven,0.0,Vandal,Assault Rifles,47.0,49.0,4.0,1506.0,Ghost,Sidearms,56.0,43.0,0.0,136.0,Sheriff,Sidearms,47.0,53.0,0.0,120.0
8,ap,132.0,161.0,90.0,163.4,1.27,32.4,48.4,78.0,73.7,31.0,3020.0,2375.0,622.0,250.2,1.53,0.9,478.0,112.0,4.0,50.1,Jett,Duelist,30.0,55.0,54.5,43.5,63.6,1.33,168.4,258.7,37.0,Bind,56.0,Raze,Duelist,17.0,32.0,46.9,51.0,56.7,1.33,180.5,272.3,45.0,Fracture,64.0,Chamber,Sentinel,5.6,10.0,40.0,27.3,50.0,1.22,143.1,223.4,18.0,Lotus,50.0,Vandal,Assault Rifles,49.0,49.0,3.0,1447.0,Phantom,Assault Rifles,44.0,52.0,4.0,437.0,Sheriff,Sidearms,59.0,40.0,1.0,233.0
9,ap,609.0,146.0,81.0,162.7,1.12,33.2,61.0,89.0,74.3,16.0,2749.0,2455.0,850.0,252.4,1.47,0.9,488.0,95.0,10.0,52.8,Clove,Controller,32.0,59.0,62.7,41.4,77.3,1.01,164.1,257.4,2.0,Haven,82.0,Chamber,Sentinel,12.0,23.0,73.9,75.0,75.0,1.36,166.1,256.8,36.0,Fracture,100.0,Jett,Duelist,7.3,12.0,58.3,63.5,60.0,1.16,153.4,240.4,16.0,Pearl,75.0,Vandal,Assault Rifles,49.0,47.0,3.0,1684.0,Sheriff,Sidearms,63.0,35.0,3.0,166.0,Outlaw,Sniper Rifles,12.0,85.0,3.0,149.0
