,nickname,region,rank,rank_rr,rank_rating,level,match,playtime_hours,damage_round,kill_death_ratio,headshot_rate,winrate,win,kast,damage_roun,kills,death,assist,acs,kad_ratio,kill_round_ratio,first_blood,flawless_round,aces,round_win,agent1,agent1_hours,matches1,win_rate1,k/d1,adr1,acs1,average_ddealt_round1,best_map1,map1_wr,agent2,agent2_hours,matches2,win_rate2,k/d2,adr2,acs2,average_ddealt_round2,best_map2,map2_wr,agent3,agent3_hours,matches3,win_rate3,k/d3,adr3,acs3,average_ddealt_round3,best_map3,map3_wr,role1,win_rate1.1,win_lose1,kda_rate1,kda1,role2,win_rate2.1,win_lose2,kda_rate2,kda2,role3,win_rate3.1,win_lose3,kda_rate3,kda3,role4,win_rate4,win_lose4,kda_rate4,kda4,weapon_name1,weapon_type1,head_rate1,body_rate1,legs_rate1,kills1,weapon_name2,weapon_type2,head_rate2,body_rate2,legs_rate2,kills2,weapon_name3,weapon_type3,head_rate3,body_rate3,legs_rate3,kills3,map_name1,win_rate1.2,win_lose1.1,map_name2,win_rate2.2,win_lose2.1,map_name3,win_rate3.2,win_lose3.1,map_name4,win_rate4.1,win_lose4.1,map_name5,win_rate5,win_lose5,map_name6,win_rate6,win_lose6,map_name7,win_rate7,win_lose7
0,LEV blowz#2007,br,Radiant,912.0,4.0,957.0,145.0,78.0,176.2,1.42,37.9,68.3,99.0,77.3,45.0,2941.0,2078.0,769.0,265.2,1.79,1.0,343.0,142.0,7.0,55.2,Sova,11.0,21.0,71.4,1.43,164.3,250.2,43.0,Haven,73.0,Iso,9.5,19.0,73.7,1.68,210.2,319.5,76.0,Split,100.0,Tejo,9.8,18.0,77.8,1.47,179.0,259.6,56.0,Fracture,89.0,Duelist,66.7,28.12,1.75,935 / 615 / 144,Sentinel,73.1,19.6,1.66,484 / 362 / 117,Initiator,64.6,42.23,1.84,"1,269 / 913 / 410",Controller,83.3,10.2,1.87,253 / 188 / 98,Vandal,Assault Rifles,53.0,45.0,2.0,1751.0,Guardian,Assault Rifles,50.0,49.0,1.0,350.0,Ghost,Sidearms,53.0,45.0,3.0,254.0,Fracture,90.0,18.2,Split,76.2,16.5,Abyss,73.7,14.5,Pearl,72.2,13.5,Haven,68.4,13.5,Bind,52.2,12.1,Lotus,52.0,13.11
1,lucks#bless,br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,donk no shape#7dBF,br,Radiant,641.0,35.0,1262.0,263.0,141.0,139.3,0.92,34.7,49.0,129.0,66.9,11.0,4087.0,4444.0,1193.0,213.3,1.19,0.7,759.0,156.0,10.0,49.7,Jett,28.0,54.0,53.7,0.97,145.6,225.0,6.0,Pearl,56.0,Clove,22.0,43.0,55.8,0.88,147.7,229.5,19.0,Haven,56.0,Raze,20.0,37.0,40.5,0.97,152.0,230.0,1.0,Bind,44.0,Duelist,52.0,65.58,1.16,"2,026 / 2,106 / 407",Controller,54.5,30.25,1.28,"890 / 1,000 / 394",Sentinel,34.6,18.31,1.16,769 / 842 / 206,Initiator,51.6,16.15,1.19,402 / 496 / 186,Vandal,Assault Rifles,48.0,48.0,4.0,2650.0,Ghost,Sidearms,54.0,46.0,1.0,382.0,Guardian,Assault Rifles,49.0,49.0,2.0,296.0,Abyss,56.4,22.16,Pearl,55.3,21.17,Lotus,51.3,20.19,Bind,47.5,19.2,Split,44.4,16.19,Haven,44.1,15.18,Fracture,43.2,16.2
3,smthlikeluid#iwnl,br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,deco#fixer,br,Radiant,574.0,55.0,585.0,99.0,54.0,153.5,1.16,35.3,48.5,48.0,74.7,21.0,1708.0,1477.0,622.0,234.3,1.58,0.8,214.0,81.0,4.0,50.0,Astra,22.0,40.0,52.5,1.17,149.6,228.4,22.0,Split,73.0,Tejo,6.5,11.0,54.5,1.05,147.8,219.9,18.0,Lotus,75.0,Jett,4.0,8.0,50.0,1.29,165.8,258.6,31.0,Haven,50.0,Initiator,50.0,12.12,1.47,385 / 365 / 150,Duelist,45.5,10.11,1.6,417 / 315 / 88,Controller,52.2,24.21,1.65,807 / 706 / 361,Sentinel,28.6,2.5,1.34,99 / 91 / 23,Vandal,Assault Rifles,48.0,49.0,3.0,680.0,Phantom,Assault Rifles,45.0,52.0,3.0,357.0,Ghost,Sidearms,58.0,40.0,2.0,150.0,Split,77.8,14.4,Lotus,50.0,7.6,Haven,50.0,5.5,Abyss,46.2,6.7,Bind,41.2,7.9,Fracture,35.7,5.9,Pearl,30.8,4.9
5,mwzera#6666,br,Radiant,537.0,70.0,687.0,140.0,74.0,158.3,1.27,24.8,62.1,87.0,78.4,33.0,2475.0,1942.0,860.0,237.5,1.72,0.8,174.0,103.0,9.0,54.0,Sova,23.0,46.0,52.2,1.33,163.7,243.2,41.0,Haven,47.0,Fade,22.0,43.0,72.1,1.32,155.7,237.2,35.0,Bind,82.0,Tejo,15.0,29.0,62.1,1.15,152.2,222.6,23.0,Fracture,56.0,Duelist,66.7,2.1,1.49,56 / 45 / 11,Initiator,61.5,80.47,1.73,"2,274 / 1,785 / 817",Sentinel,83.3,5.1,1.67,125 / 91 / 27,Controller,0.0,0.1,1.19,20 / 21 / 5,Vandal,Assault Rifles,37.0,60.0,3.0,1329.0,Phantom,Assault Rifles,31.0,66.0,3.0,247.0,Ghost,Sidearms,37.0,59.0,3.0,174.0,Bind,82.6,19.4,Abyss,66.7,12.6,Split,65.0,13.7,Lotus,61.9,13.7,Haven,52.4,11.9,Fracture,52.4,11.1,Pearl,50.0,8.7
6,beto#duca,br,Radiant,472.0,98.0,840.0,101.0,57.0,141.8,1.04,32.4,50.5,51.0,69.6,4.0,1651.0,1581.0,492.0,215.7,1.36,0.8,225.0,81.0,5.0,50.5,Jett,17.0,30.0,46.7,1.2,158.3,241.7,23.0,Split,60.0,Clove,11.0,22.0,68.2,1.06,148.8,229.0,1.0,Abyss,80.0,Omen,5.6,10.0,40.0,0.99,131.8,202.2,7.0,Lotus,67.0,Controller,56.8,21.16,1.49,581 / 577 / 280,Sentinel,37.5,6.1,1.08,219 / 249 / 51,Duelist,51.1,23.21,1.33,809 / 716 / 146,Initiator,33.3,1.2,1.46,42 / 39 / 15,Vandal,Assault Rifles,47.0,50.0,3.0,1029.0,Sheriff,Sidearms,66.0,33.0,1.0,111.0,Phantom,Assault Rifles,35.0,57.0,8.0,84.0,Split,60.0,9.6,Bind,58.8,10.7,Abyss,57.1,8.6,Pearl,50.0,8.7,Fracture,46.7,7.8,Lotus,38.5,5.8,Haven,36.4,4.7
7,Liquid daiki#isz,br,Radiant,502.0,86.0,573.0,100.0,59.0,140.4,1.07,38.6,50.0,50.0,72.0,10.0,1653.0,1545.0,640.0,211.7,1.48,0.8,204.0,80.0,2.0,49.8,Skye,16.0,30.0,53.3,1.0,133.0,198.9,1.0,Split,77.0,Sova,12.0,20.0,50.0,1.17,153.0,227.6,25.0,Abyss,63.0,Breach,7.8,13.0,61.5,1.03,134.0,206.3,5.0,Haven,71.0,Initiator,50.0,37.35,1.48,"1,206 / 1,153 / 496",Duelist,50.0,2.2,1.35,71 / 65 / 17,Sentinel,50.0,8.8,1.51,267 / 231 / 81,Controller,50.0,3.3,1.61,109 / 96 / 46,Vandal,Assault Rifles,51.0,48.0,2.0,1118.0,Sheriff,Sidearms,62.0,36.0,2.0,169.0,Ghost,Sidearms,60.0,39.0,1.0,108.0,Split,70.6,12.4,Abyss,66.7,12.6,Haven,53.8,7.6,Bind,42.9,6.8,Pearl,42.9,6.7,Fracture,33.3,4.8,Lotus,25.0,3.9
8,KRÜ ganter#anais,br,Radiant,502.0,87.0,271.0,139.0,79.0,131.4,1.02,36.2,46.8,65.0,69.7,3.0,2189.0,2141.0,577.0,201.5,1.29,0.7,234.0,109.0,4.0,48.5,Cypher,30.0,55.0,40.0,0.99,130.6,196.6,3.0,Split,56.0,Vyse,16.0,29.0,55.2,1.19,138.6,214.1,11.0,Fracture,67.0,Deadlock,7.2,13.0,30.8,0.98,136.1,214.3,9.0,Bind,31.0,Sentinel,46.8,52.58,1.28,"1,755 / 1,684 / 407",Initiator,35.7,5.9,1.23,198 / 229 / 84,Controller,58.3,7.5,1.46,195 / 190 / 82,Duelist,50.0,1.1,1.18,41 / 38 / 4,Vandal,Assault Rifles,54.0,44.0,3.0,1261.0,Phantom,Assault Rifles,52.0,46.0,3.0,227.0,Ghost,Sidearms,48.0,50.0,2.0,187.0,Pearl,63.2,12.7,Fracture,61.9,13.8,Split,56.5,13.1,Bind,42.9,9.12,Haven,38.9,7.11,Abyss,35.0,7.12,Lotus,23.5,4.13
9,Will2k#777,br,Radiant,431.0,136.0,1086.0,149.0,84.0,149.5,1.09,31.3,50.3,75.0,72.1,13.0,2526.0,2310.0,734.0,223.9,1.41,0.8,319.0,116.0,2.0,50.1,Killjoy,24.0,42.0,40.5,1.19,160.2,238.5,27.0,Haven,53.0,Viper,16.0,29.0,48.3,1.14,153.6,237.4,15.0,Split,50.0,Clove,8.7,17.0,47.1,0.94,147.1,217.6,2.0,Bind,67.0,Controller,50.8,33.32,1.47,"1,068 / 1,005 / 408",Sentinel,45.3,24.29,1.34,943 / 821 / 154,Duelist,100.0,3.0,1.36,56 / 55 / 19,Initiator,53.6,15.13,1.43,459 / 429 / 153,Vandal,Assault Rifles,52.0,44.0,4.0,1226.0,Guardian,Assault Rifles,62.0,37.0,1.0,328.0,Ghost,Sidearms,53.0,44.0,3.0,195.0,Abyss,66.7,14.7,Bind,60.0,12.8,Pearl,50.0,12.12,Haven,47.6,10.11,Fracture,47.4,9.1,Split,45.8,11.13,Lotus,35.0,7.13
