,nickname,region,rank,rank_rr,rank_rating,level,match,playtime_hours,damage_round,kill_death_ratio,headshot_rate,winrate,win,kast,damage_roun,kills,death,assist,acs,kad_ratio,kill_round_ratio,first_blood,flawless_round,aces,round_win,agent1,agent1_hours,matches1,win_rate1,k/d1,adr1,acs1,average_ddealt_round1,best_map1,map1_wr,agent2,agent2_hours,matches2,win_rate2,k/d2,adr2,acs2,average_ddealt_round2,best_map2,map2_wr,agent3,agent3_hours,matches3,win_rate3,k/d3,adr3,acs3,average_ddealt_round3,best_map3,map3_wr,role1,win_rate1.1,win_lose1,kda_rate1,kda1,role2,win_rate2.1,win_lose2,kda_rate2,kda2,role3,win_rate3.1,win_lose3,kda_rate3,kda3,role4,win_rate4,win_lose4,kda_rate4,kda4,weapon_name1,weapon_type1,head_rate1,body_rate1,legs_rate1,kills1,weapon_name2,weapon_type2,head_rate2,body_rate2,legs_rate2,kills2,weapon_name3,weapon_type3,head_rate3,body_rate3,legs_rate3,kills3,map_name1,win_rate1.2,win_lose1.1,map_name2,win_rate2.2,win_lose2.1,map_name3,win_rate3.2,win_lose3.1,map_name4,win_rate4.1,win_lose4.1,map_name5,win_rate5,win_lose5,map_name6,win_rate6,win_lose6,map_name7,win_rate7,win_lose7
0,ScreaM#8143,eu,Radiant,813.0,19.0,419.0,95.0,51.0,218.5,1.82,39.7,71.6,68.0,79.6,86.0,2468.0,1357.0,403.0,342.8,2.12,1.2,375.0,111.0,26.0,56.3,Jett,15.0,28.0,67.9,1.87,221.2,351.8,88.0,Fracture,88.0,Iso,9.1,17.0,58.8,1.83,223.9,347.1,94.0,Abyss,64.0,Raze,9.1,16.0,62.5,1.87,229.2,353.6,95.0,Split,78.0,Controller,75.0,3.1,2.18,112 / 65 / 30,Duelist,68.5,50.23,2.1,"1,946 / 1,048 / 256",Initiator,82.4,14.3,2.18,389 / 231 / 115,Sentinel,100.0,1.0,1.77,21 / 13 / 2,Vandal,Assault Rifles,58.0,39.0,3.0,1180.0,Phantom,Assault Rifles,51.0,46.0,3.0,396.0,Sheriff,Sidearms,60.0,40.0,0.0,199.0,Fracture,90.9,10.1,Split,82.4,14.3,Lotus,76.9,10.3,Pearl,71.4,10.4,Abyss,63.6,7.4,Haven,62.5,10.6,Bind,53.8,7.6
1,Sabajo#2468,eu,Radiant,644.0,153.0,301.0,204.0,116.0,144.2,1.02,32.4,54.4,111.0,72.7,2.0,3375.0,3311.0,1101.0,214.9,1.35,0.8,450.0,140.0,1.0,50.8,Yoru,19.0,34.0,55.9,0.98,141.7,216.5,3.0,Haven,71.0,Tejo,16.0,28.0,60.7,1.04,139.8,204.6,3.0,Bind,63.0,Omen,13.0,26.0,61.5,1.12,149.2,219.1,14.0,Lotus,60.0,Controller,59.6,28.19,1.55,756 / 716 / 357,Sentinel,61.5,8.4,1.27,200 / 195 / 48,Initiator,65.7,23.12,1.44,576 / 552 / 220,Duelist,47.7,52.55,1.25,"1,843 / 1,848 / 476",Vandal,Assault Rifles,45.0,53.0,2.0,2347.0,Ghost,Sidearms,48.0,50.0,2.0,293.0,Sheriff,Sidearms,51.0,48.0,1.0,175.0,Abyss,58.1,18.13,Bind,55.6,15.11,Pearl,55.6,15.12,Fracture,55.2,16.13,Lotus,54.5,18.14,Split,51.9,14.13,Haven,50.0,15.14
2,flank#luv,eu,Radiant,763.0,42.0,609.0,203.0,114.0,159.9,1.21,30.2,57.1,116.0,72.8,22.0,3749.0,3108.0,976.0,244.0,1.52,0.9,505.0,180.0,10.0,52.4,Clove,21.0,39.0,56.4,1.09,162.7,250.5,8.0,Pearl,64.0,Raze,22.0,39.0,53.8,1.24,165.3,254.6,27.0,Split,59.0,Jett,14.0,26.0,53.8,1.34,170.1,258.0,38.0,Fracture,67.0,Controller,56.3,27.19,1.57,847 / 794 / 403,Duelist,56.3,54.41,1.51,"1,866 / 1,453 / 321",Initiator,57.7,15.11,1.37,409 / 392 / 129,Sentinel,60.6,20.12,1.6,627 / 469 / 123,Vandal,Assault Rifles,42.0,56.0,2.0,2299.0,Ghost,Sidearms,44.0,54.0,1.0,265.0,Sheriff,Sidearms,51.0,48.0,1.0,230.0,Haven,63.0,17.1,Split,62.5,20.12,Abyss,61.5,16.1,Lotus,56.7,17.11,Pearl,53.1,17.14,Fracture,51.9,14.12,Bind,51.7,15.14
3,twitch south1x#aim,eu,Radiant,741.0,53.0,380.0,76.0,40.0,161.6,1.33,38.1,69.7,53.0,77.5,27.0,1415.0,1062.0,372.0,242.9,1.68,0.9,149.0,69.0,2.0,55.7,Iso,20.0,39.0,71.8,1.51,170.0,256.6,45.0,Abyss,83.0,Clove,9.5,18.0,55.6,1.03,152.5,226.0,2.0,Fracture,86.0,Phoenix,7.4,13.0,84.6,1.37,156.7,238.1,13.0,Pearl,100.0,Duelist,73.2,41.14,1.76,"1,079 / 748 / 234",Controller,55.6,10.7,1.47,298 / 288 / 126,Initiator,100.0,2.0,1.92,38 / 26 / 12,,,,,,Vandal,Assault Rifles,53.0,44.0,3.0,1058.0,Ghost,Sidearms,58.0,40.0,2.0,112.0,Stinger,SMGs,23.0,73.0,3.0,66.0,Fracture,85.7,12.2,Abyss,77.8,7.2,Lotus,75.0,9.3,Pearl,70.0,7.3,Split,70.0,7.2,Haven,57.1,8.6,Bind,42.9,3.3
4,GODSENT Demiurge#SWE,eu,Radiant,752.0,48.0,822.0,228.0,127.0,163.7,1.18,30.3,52.2,119.0,73.4,24.0,4249.0,3604.0,1221.0,250.2,1.52,0.9,656.0,179.0,12.0,50.8,Jett,24.0,44.0,43.2,1.18,166.9,257.4,24.0,Abyss,50.0,Chamber,12.0,22.0,63.6,1.21,161.3,246.2,23.0,Lotus,78.0,Tejo,11.0,20.0,50.0,1.18,159.9,240.0,22.0,Fracture,71.0,Sentinel,57.4,31.23,1.6,"1,048 / 813 / 255",Controller,59.4,19.13,1.83,572 / 471 / 288,Initiator,50.0,20.19,1.55,718 / 645 / 279,Duelist,48.0,49.52,1.38,"1,911 / 1,675 / 399",Vandal,Assault Rifles,47.0,50.0,3.0,2295.0,Phantom,Assault Rifles,38.0,58.0,4.0,373.0,Sheriff,Sidearms,52.0,46.0,2.0,306.0,Lotus,74.3,26.8,Fracture,62.5,20.12,Pearl,56.2,18.14,Abyss,46.9,15.17,Split,46.7,14.16,Bind,44.1,15.19,Haven,33.3,11.21
5,kozzyRAZBUNAREA#aim,eu,Radiant,948.0,7.0,169.0,183.0,101.0,180.6,1.28,47.7,56.8,104.0,70.8,33.0,3932.0,3079.0,490.0,282.8,1.44,1.0,844.0,172.0,20.0,51.9,Jett,66.0,116.0,60.3,1.32,182.5,287.0,36.0,Abyss,75.0,Raze,15.0,30.0,46.7,1.21,181.5,281.2,32.0,Bind,40.0,Neon,7.6,15.0,60.0,1.17,174.2,273.8,28.0,Haven,75.0,Duelist,57.3,98.72,1.42,"3,662 / 2,877 / 428",Sentinel,50.0,2.2,1.39,69 / 57 / 10,Controller,20.0,1.4,1.65,138 / 107 / 39,Initiator,100.0,3.0,2.0,63 / 38 / 13,Vandal,Assault Rifles,63.0,34.0,2.0,2142.0,Sheriff,Sidearms,68.0,31.0,1.0,411.0,Phantom,Assault Rifles,56.0,41.0,3.0,303.0,Pearl,66.7,18.9,Abyss,65.5,19.9,Haven,60.9,14.9,Split,59.1,13.9,Lotus,52.0,13.12,Bind,50.0,13.13,Fracture,45.2,14.17
6,noxis#kiddo,eu,Radiant,686.0,97.0,365.0,168.0,92.0,143.3,1.1,38.1,51.8,87.0,68.8,12.0,2761.0,2510.0,595.0,221.8,1.34,0.8,478.0,143.0,5.0,50.6,Cypher,24.0,43.0,51.2,1.12,145.8,226.0,17.0,Bind,67.0,Chamber,13.0,26.0,53.8,1.22,150.4,232.6,27.0,Split,62.0,Reyna,11.0,20.0,70.0,1.14,146.4,229.9,12.0,Haven,58.0,Sentinel,54.5,54.44,1.35,"1,622 / 1,423 / 293",Duelist,46.8,22.25,1.3,818 / 751 / 155,Initiator,50.0,2.2,1.09,50 / 66 / 22,Controller,50.0,9.9,1.47,271 / 270 / 125,Vandal,Assault Rifles,53.0,45.0,2.0,1501.0,Phantom,Assault Rifles,44.0,53.0,3.0,459.0,Ghost,Sidearms,57.0,41.0,1.0,235.0,Abyss,66.7,14.7,Bind,57.7,15.11,Lotus,56.5,13.1,Split,56.0,14.11,Haven,48.0,12.13,Pearl,40.7,11.15,Fracture,38.1,8.13
7,Sage my girl#Love,eu,Radiant,681.0,102.0,482.0,109.0,58.0,144.3,0.91,23.5,52.3,57.0,68.0,7.0,1703.0,1879.0,520.0,222.3,1.18,0.7,396.0,74.0,2.0,49.6,Sage,19.0,37.0,45.9,0.86,137.9,206.6,9.0,Haven,50.0,Iso,16.0,31.0,64.5,1.04,165.2,252.8,14.0,Fracture,100.0,Neon,9.2,17.0,41.2,0.95,134.7,222.6,19.0,Lotus,67.0,Duelist,52.8,28.24,1.17,883 / 917 / 192,Sentinel,53.5,23.2,1.21,619 / 715 / 247,Initiator,60.0,3.1,1.42,99 / 90 / 29,Controller,37.5,3.5,0.98,102 / 157 / 52,Vandal,Assault Rifles,44.0,51.0,5.0,1075.0,Outlaw,Sniper Rifles,8.0,90.0,2.0,93.0,Classic,Sidearms,31.0,62.0,7.0,90.0,Fracture,60.0,9.6,Pearl,60.0,9.6,Haven,55.6,10.8,Lotus,53.8,7.6,Abyss,53.3,8.5,Bind,46.7,7.8,Split,38.9,7.11
8,KC Sevire#KC7,eu,Radiant,719.0,68.0,528.0,101.0,59.0,151.0,1.19,47.9,63.4,64.0,73.0,20.0,1846.0,1545.0,494.0,231.8,1.51,0.8,240.0,71.0,4.0,54.2,Tejo,17.0,31.0,74.2,1.2,154.6,236.4,24.0,Pearl,80.0,Omen,7.2,13.0,61.5,1.37,154.0,238.6,36.0,Haven,70.0,Fade,4.8,9.0,66.7,1.24,150.3,223.8,27.0,Fracture,80.0,Duelist,57.1,8.6,1.35,263 / 225 / 41,Initiator,71.4,35.14,1.52,863 / 722 / 233,Sentinel,52.9,9.8,1.55,335 / 266 / 76,Controller,57.1,12.9,1.59,385 / 332 / 144,Vandal,Assault Rifles,65.0,32.0,2.0,1181.0,Phantom,Assault Rifles,58.0,41.0,1.0,178.0,Ghost,Sidearms,73.0,26.0,1.0,131.0,Fracture,73.3,11.4,Haven,68.8,11.5,Pearl,68.8,11.5,Bind,68.8,11.5,Lotus,58.3,7.5,Abyss,50.0,6.6,Split,50.0,7.7
9,Esconardo#00000,eu,Radiant,659.0,129.0,598.0,163.0,91.0,146.2,1.02,29.5,50.9,83.0,68.5,1.0,2749.0,2703.0,671.0,223.9,1.27,0.8,467.0,116.0,4.0,50.5,Yoru,20.0,35.0,45.7,1.04,140.3,213.8,2.0,Pearl,46.0,Jett,14.0,25.0,48.0,0.94,139.3,218.2,9.0,Abyss,71.0,Tejo,9.0,16.0,68.8,1.12,148.9,220.0,18.0,Fracture,67.0,Initiator,56.4,22.17,1.31,644 / 635 / 186,Duelist,47.0,39.42,1.19,"1,398 / 1,390 / 251",Controller,70.0,14.6,1.38,315 / 335 / 147,Sentinel,38.1,8.13,1.4,392 / 343 / 87,Vandal,Assault Rifles,46.0,51.0,4.0,1566.0,Ghost,Sidearms,46.0,53.0,1.0,245.0,Operator,Sniper Rifles,12.0,86.0,1.0,143.0,Split,60.0,12.8,Haven,59.1,13.9,Abyss,51.9,14.13,Bind,50.0,12.1,Fracture,46.2,12.14,Pearl,45.5,10.12,Lotus,45.5,10.12
10,DaddySnorlax#Noah,eu,Radiant,652.0,139.0,162.0,140.0,76.0,135.9,0.99,27.4,57.1,80.0,70.0,3.0,2138.0,2170.0,809.0,210.1,1.36,0.7,303.0,88.0,2.0,51.9,Clove,13.0,24.0,45.8,0.89,137.8,208.7,19.0,Lotus,50.0,Jett,9.4,17.0,41.2,0.98,135.9,209.3,4.0,Haven,75.0,Fade,7.9,14.0,78.6,1.22,154.4,249.6,21.0,Bind,75.0,Duelist,56.4,22.16,1.28,686 / 646 / 141,Initiator,80.0,28.7,1.83,627 / 504 / 293,Sentinel,37.0,10.17,0.87,245 / 418 / 118,Controller,51.3,20.19,1.39,580 / 602 / 257,Vandal,Assault Rifles,41.0,55.0,5.0,1292.0,Ghost,Sidearms,48.0,49.0,4.0,203.0,Sheriff,Sidearms,59.0,40.0,1.0,168.0,Lotus,65.2,15.8,Haven,63.6,14.8,Bind,61.9,13.7,Split,60.0,12.8,Pearl,52.4,11.1,Fracture,47.1,8.9,Abyss,43.8,7.9
11,Lhan#100,eu,Radiant,640.0,158.0,197.0,46.0,23.0,158.4,1.17,27.2,82.6,38.0,77.7,13.0,806.0,687.0,281.0,247.8,1.58,0.9,135.0,28.0,2.0,59.9,Clove,5.4,10.0,100.0,1.19,170.3,262.5,19.0,Pearl,100.0,Jett,4.1,9.0,88.9,1.27,155.5,253.3,19.0,Abyss,100.0,Reyna,2.8,6.0,66.7,1.09,151.4,233.2,8.0,Abyss,100.0,Sentinel,83.3,5.1,1.51,107 / 95 / 36,Controller,100.0,14.0,1.84,258 / 209 / 127,Duelist,72.7,16.6,1.46,381 / 318 / 83,Initiator,75.0,3.1,1.46,60 / 65 / 35,Vandal,Assault Rifles,39.0,56.0,6.0,476.0,Ghost,Sidearms,50.0,47.0,4.0,59.0,Guardian,Assault Rifles,49.0,51.0,0.0,52.0,Lotus,100.0,6.0,Haven,100.0,9.0,Abyss,87.5,7.1,Fracture,83.3,5.1,Pearl,83.3,5.1,Split,75.0,3.1,Bind,42.9,3.4
12,ESC B3ASTM0D3#TTV,eu,Radiant,583.0,274.0,842.0,131.0,72.0,136.2,1.11,33.7,52.7,69.0,71.7,12.0,2009.0,1818.0,636.0,206.1,1.45,0.7,255.0,94.0,2.0,51.2,Cypher,33.0,61.0,52.5,1.13,135.5,203.8,12.0,Abyss,57.0,Killjoy,15.0,26.0,46.2,1.04,136.9,202.2,12.0,Haven,45.0,Omen,8.0,15.0,46.7,1.12,143.2,218.3,13.0,Haven,60.0,Sentinel,50.5,46.45,1.35,"1,390 / 1,266 / 313",Controller,58.8,20.13,1.76,543 / 478 / 298,Initiator,60.0,3.2,1.43,63 / 58 / 20,Duelist,0.0,0.1,1.12,13 / 16 / 5,Vandal,Assault Rifles,47.0,50.0,3.0,1150.0,Ghost,Sidearms,51.0,48.0,2.0,194.0,Phantom,Assault Rifles,42.0,56.0,2.0,124.0,Fracture,66.7,10.5,Bind,61.5,8.4,Pearl,57.1,8.6,Abyss,50.0,12.12,Haven,48.0,12.13,Split,47.6,10.11,Lotus,47.4,9.1
13,падший гном#UFC95,eu,Radiant,591.0,259.0,572.0,220.0,123.0,142.3,1.08,39.8,49.5,109.0,71.5,5.0,3726.0,3462.0,919.0,219.1,1.34,0.8,465.0,158.0,4.0,50.1,Jett,35.0,63.0,44.4,1.12,150.7,235.9,10.0,Abyss,58.0,Raze,25.0,44.0,45.5,1.13,158.9,237.6,19.0,Split,53.0,Fade,24.0,42.0,52.4,1.07,133.5,203.9,2.0,Pearl,62.0,Initiator,53.3,40.35,1.47,"1,190 / 1,119 / 459",Sentinel,53.8,7.6,1.28,204 / 206 / 59,Controller,58.3,7.5,1.31,168 / 183 / 72,Duelist,45.8,55.64,1.28,"2,164 / 1,954 / 329",Vandal,Assault Rifles,57.0,41.0,3.0,2301.0,Sheriff,Sidearms,70.0,29.0,1.0,305.0,Ghost,Sidearms,54.0,44.0,2.0,295.0,Abyss,58.8,20.14,Split,58.1,18.13,Fracture,53.1,17.15,Lotus,52.9,18.15,Pearl,46.4,13.15,Bind,37.9,11.18,Haven,37.5,12.2
14,laser#llj,eu,Radiant,622.0,188.0,403.0,98.0,55.0,126.7,0.96,29.4,53.1,52.0,70.3,5.0,1407.0,1468.0,610.0,191.1,1.37,0.7,141.0,81.0,1.0,51.3,Astra,8.7,15.0,53.3,0.91,118.6,175.9,10.0,Lotus,71.0,Breach,8.6,15.0,66.7,0.91,126.0,194.2,11.0,Haven,78.0,Deadlock,5.9,11.0,63.6,0.95,118.2,179.3,6.0,Abyss,100.0,Duelist,38.9,7.11,1.35,293 / 263 / 62,Sentinel,66.7,18.9,1.37,384 / 369 / 122,Initiator,50.0,14.14,1.3,390 / 455 / 202,Controller,52.0,13.11,1.48,340 / 381 / 224,Vandal,Assault Rifles,42.0,53.0,5.0,986.0,Ghost,Sidearms,38.0,58.0,4.0,124.0,Guardian,Assault Rifles,34.0,63.0,2.0,78.0,Haven,73.3,11.4,Split,66.7,10.5,Lotus,64.7,11.6,Abyss,64.3,9.5,Bind,44.4,4.5,Fracture,29.4,5.12,Pearl,18.2,2.8
15,koshmarasuwu#GVIBE,eu,Radiant,616.0,201.0,602.0,219.0,124.0,138.0,0.97,22.8,54.3,119.0,71.4,6.0,3400.0,3514.0,1413.0,210.7,1.37,0.7,536.0,149.0,4.0,51.1,Cypher,15.0,27.0,59.3,1.14,141.1,214.4,6.0,Split,71.0,Tejo,13.0,25.0,44.0,0.85,126.2,185.4,18.0,Split,67.0,Deadlock,10.0,20.0,65.0,1.03,136.0,209.1,2.0,Lotus,80.0,Controller,53.3,24.21,1.54,716 / 734 / 412,Initiator,50.0,33.33,1.31,"880 / 1,009 / 437",Duelist,56.9,29.2,1.26,899 / 903 / 243,Sentinel,57.9,33.23,1.41,905 / 868 / 321,Vandal,Assault Rifles,42.0,54.0,5.0,1405.0,Phantom,Assault Rifles,39.0,56.0,5.0,689.0,Classic,Sidearms,35.0,60.0,4.0,293.0,Bind,64.5,20.11,Split,60.0,21.13,Fracture,54.8,17.13,Abyss,54.5,18.15,Haven,53.6,15.13,Lotus,50.0,18.17,Pearl,40.0,10.15
16,VASQUEZ#hori,eu,Radiant,621.0,191.0,367.0,140.0,76.0,155.0,1.1,36.3,53.6,75.0,69.8,9.0,2587.0,2345.0,605.0,240.5,1.36,0.9,398.0,116.0,8.0,51.0,Clove,16.0,32.0,56.2,1.11,169.5,270.1,4.0,Fracture,40.0,Cypher,9.8,19.0,63.2,1.26,158.6,245.0,25.0,Split,43.0,Jett,10.0,19.0,63.2,1.13,161.7,253.0,17.0,Abyss,100.0,Duelist,63.2,24.14,1.25,750 / 680 / 102,Sentinel,44.2,19.23,1.3,732 / 673 / 145,Controller,55.9,19.15,1.49,671 / 605 / 230,Initiator,52.0,13.11,1.45,434 / 387 / 128,Vandal,Assault Rifles,52.0,45.0,3.0,1516.0,Outlaw,Sniper Rifles,7.0,90.0,2.0,177.0,Sheriff,Sidearms,61.0,38.0,1.0,173.0,Abyss,78.9,15.4,Haven,76.5,13.4,Lotus,52.4,11.1,Fracture,47.6,10.11,Bind,47.4,9.1,Split,40.0,10.14,Pearl,38.9,7.1
