,nickname,region,rank,rank_rr,rank_rating,level,match,playtime_hours,damage_round,kill_death_ratio,headshot_rate,winrate,win,kast,damage_roun,kills,death,assist,acs,kad_ratio,kill_round_ratio,first_blood,flawless_round,aces,round_win,agent1,agent1_hours,matches1,win_rate1,k/d1,adr1,acs1,average_ddealt_round1,best_map1,map1_wr,agent2,agent2_hours,matches2,win_rate2,k/d2,adr2,acs2,average_ddealt_round2,best_map2,map2_wr,agent3,agent3_hours,matches3,win_rate3,k/d3,adr3,acs3,average_ddealt_round3,best_map3,map3_wr,role1,win_rate1.1,win_lose1,kda_rate1,kda1,role2,win_rate2.1,win_lose2,kda_rate2,kda2,role3,win_rate3.1,win_lose3,kda_rate3,kda3,role4,win_rate4,win_lose4,kda_rate4,kda4,weapon_name1,weapon_type1,head_rate1,body_rate1,legs_rate1,kills1,weapon_name2,weapon_type2,head_rate2,body_rate2,legs_rate2,kills2,weapon_name3,weapon_type3,head_rate3,body_rate3,legs_rate3,kills3,map_name1,win_rate1.2,win_lose1.1,map_name2,win_rate2.2,win_lose2.1,map_name3,win_rate3.2,win_lose3.1,map_name4,win_rate4.1,win_lose4.1,map_name5,win_rate5,win_lose5,map_name6,win_rate6,win_lose6,map_name7,win_rate7,win_lose7
0,LEV Neon#1111,br,Radiant,1022.0,1.0,385.0,101.0,55.0,186.8,1.45,29.2,77.2,78.0,76.2,52.0,2207.0,1520.0,435.0,289.5,1.74,1.0,493.0,116.0,3.0,57.4,Jett,34.0,62.0,75.8,1.5,189.5,295.8,55.0,Pearl,82.0,Yoru,10.0,21.0,85.7,1.36,177.1,275.2,42.0,Bind,79.0,Raze,6.3,11.0,63.6,1.35,193.4,288.9,51.0,Lotus,70.0,Controller,100.0,4.0,2.3,90 / 56 / 39,Sentinel,100.0,2.0,2.32,42 / 25 / 16,Duelist,76.6,72.2,1.71,"2,060 / 1,419 / 372",Initiator,0.0,0.1,1.15,15 / 20 / 8,Vandal,Assault Rifles,46.0,50.0,4.0,1122.0,Operator,Sniper Rifles,8.0,91.0,1.0,291.0,Ghost,Sidearms,43.0,54.0,2.0,195.0,Haven,86.7,13.2,Split,78.6,11.3,Abyss,78.6,11.3,Pearl,78.6,11.3,Bind,75.0,12.4,Lotus,75.0,9.3,Fracture,68.8,11.3
1,tisora#zzz,br,Radiant,724.0,20.0,854.0,124.0,67.0,156.1,1.15,27.0,59.7,74.0,74.2,20.0,2172.0,1893.0,747.0,237.2,1.54,0.8,281.0,91.0,3.0,52.5,Skye,9.5,18.0,44.4,1.09,150.0,226.7,16.0,Bind,40.0,Breach,10.0,18.0,55.6,1.19,151.0,232.3,18.0,Fracture,57.0,Vyse,7.8,16.0,75.0,1.31,169.8,257.0,42.0,Abyss,67.0,Duelist,66.7,16.8,1.44,428 / 367 / 99,Sentinel,70.8,17.7,1.58,394 / 319 / 109,Controller,60.0,9.6,1.42,270 / 265 / 106,Initiator,52.5,32.29,1.61,"1,080 / 942 / 433",Vandal,Assault Rifles,40.0,55.0,4.0,1242.0,Phantom,Assault Rifles,35.0,60.0,5.0,231.0,Ghost,Sidearms,45.0,52.0,3.0,161.0,Fracture,65.0,13.7,Abyss,65.0,13.7,Bind,65.0,13.7,Haven,60.0,9.6,Pearl,57.1,8.6,Lotus,53.3,8.7,Split,50.0,10.1
2,SCCP tkzin#2008,br,Radiant,742.0,16.0,837.0,117.0,65.0,180.1,1.34,35.3,56.4,66.0,72.7,42.0,2407.0,1797.0,466.0,273.0,1.6,1.0,430.0,92.0,9.0,52.4,Raze,20.0,37.0,51.4,1.3,187.4,277.3,47.0,Split,58.0,Yoru,16.0,28.0,64.3,1.36,173.2,267.2,40.0,Abyss,82.0,Jett,12.0,22.0,59.1,1.43,186.3,287.4,48.0,Haven,60.0,Controller,33.3,2.4,1.66,127 / 104 / 46,Duelist,58.0,58.4,1.61,"2,112 / 1,549 / 375",Sentinel,50.0,3.3,1.51,90 / 73 / 20,Initiator,60.0,3.2,1.45,78 / 71 / 25,Vandal,Assault Rifles,52.0,45.0,3.0,1169.0,Phantom,Assault Rifles,44.0,49.0,7.0,398.0,Sheriff,Sidearms,65.0,35.0,1.0,222.0,Abyss,76.9,10.2,Haven,66.7,8.4,Pearl,57.9,11.8,Lotus,57.9,11.7,Fracture,52.6,10.9,Split,50.0,10.1,Bind,40.0,6.9
3,nicolas#sccp,br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,GRE tiezzi#zzz,br,Radiant,589.0,46.0,564.0,140.0,77.0,166.7,1.21,33.1,50.0,70.0,72.1,26.0,2638.0,2189.0,531.0,253.6,1.45,0.9,517.0,123.0,10.0,50.8,Raze,28.0,55.0,58.2,1.23,173.3,260.7,34.0,Fracture,76.0,Yoru,15.0,26.0,34.6,1.16,154.6,240.8,16.0,Abyss,25.0,Neon,13.0,24.0,58.3,1.3,173.3,267.5,35.0,Lotus,63.0,Duelist,50.8,63.59,1.42,"2,312 / 1,936 / 440",Initiator,14.3,1.5,1.48,120 / 105 / 35,Controller,66.7,4.2,1.83,145 / 101 / 40,Sentinel,66.7,2.1,1.64,61 / 47 / 16,Vandal,Assault Rifles,55.0,42.0,3.0,1200.0,Guardian,Assault Rifles,57.0,42.0,1.0,327.0,Phantom,Assault Rifles,43.0,53.0,4.0,250.0,Fracture,68.2,15.7,Bind,65.2,15.8,Haven,55.6,10.8,Lotus,54.5,12.9,Pearl,47.1,8.9,Split,27.8,5.12,Abyss,25.0,5.14
5,GRE basic#mint,br,Radiant,589.0,45.0,307.0,72.0,41.0,167.6,1.5,36.6,62.5,45.0,77.6,44.0,1436.0,960.0,574.0,253.5,2.09,0.9,94.0,52.0,2.0,54.9,Breach,9.2,16.0,43.8,1.22,144.3,222.7,17.0,Haven,50.0,KAY/O,6.9,12.0,83.3,1.51,169.6,255.0,46.0,Pearl,100.0,Tejo,5.5,10.0,70.0,1.67,159.1,240.4,50.0,Fracture,67.0,Initiator,59.6,31.21,2.13,989 / 696 / 492,Sentinel,73.3,11.4,2.01,323 / 192 / 62,Duelist,66.7,2.1,2.35,93 / 43 / 8,Controller,50.0,1.1,1.48,31 / 29 / 12,Vandal,Assault Rifles,51.0,46.0,3.0,811.0,Sheriff,Sidearms,59.0,40.0,0.0,153.0,Classic,Sidearms,43.0,54.0,3.0,133.0,Pearl,100.0,8.0,Split,90.0,9.1,Haven,63.6,7.4,Abyss,62.5,5.3,Fracture,54.5,6.5,Lotus,50.0,6.6,Bind,33.3,4.8
6,aztex#2007,br,Radiant,580.0,52.0,899.0,164.0,91.0,146.0,1.13,36.5,48.8,80.0,74.0,19.0,2676.0,2371.0,835.0,219.1,1.48,0.8,355.0,131.0,4.0,49.9,Fade,12.0,21.0,71.4,1.25,144.3,221.2,27.0,Split,100.0,Deadlock,9.9,19.0,63.2,1.25,143.6,215.0,28.0,Bind,80.0,Sova,9.9,17.0,41.2,1.12,156.1,226.8,30.0,Abyss,50.0,Initiator,55.6,35.27,1.56,"1,015 / 903 / 397",Duelist,38.9,7.11,1.37,311 / 271 / 60,Sentinel,51.9,27.25,1.39,829 / 725 / 178,Controller,35.5,11.19,1.53,521 / 472 / 200,Vandal,Assault Rifles,48.0,49.0,3.0,1496.0,Guardian,Assault Rifles,69.0,30.0,1.0,322.0,Ghost,Sidearms,58.0,40.0,3.0,241.0,Bind,63.6,14.8,Pearl,56.0,14.11,Fracture,53.8,14.12,Split,51.9,14.12,Abyss,47.4,9.1,Lotus,36.4,8.14,Haven,30.4,7.15
7,TBK Kring#jska,br,Radiant,663.0,30.0,571.0,87.0,49.0,150.7,1.14,29.7,56.3,49.0,74.5,20.0,1464.0,1289.0,552.0,224.5,1.56,0.8,172.0,81.0,5.0,52.9,Deadlock,7.1,12.0,33.3,1.09,154.7,237.5,12.0,Bind,50.0,Tejo,5.2,10.0,50.0,1.22,160.3,238.7,27.0,Fracture,50.0,Breach,6.2,10.0,60.0,1.11,141.6,213.9,13.0,Haven,57.0,Initiator,66.7,34.16,1.7,852 / 724 / 380,Duelist,57.1,4.3,1.4,124 / 109 / 29,Sentinel,36.0,9.14,1.36,416 / 391 / 114,Controller,50.0,2.2,1.55,72 / 65 / 29,Vandal,Assault Rifles,42.0,54.0,3.0,899.0,Sheriff,Sidearms,50.0,49.0,1.0,156.0,Ghost,Sidearms,40.0,57.0,2.0,92.0,Pearl,66.7,8.4,Split,66.7,6.2,Abyss,64.3,9.5,Bind,60.0,6.3,Lotus,53.8,7.6,Fracture,47.1,8.9,Haven,41.7,5.6
8,F4T Mixyce#3006,br,Radiant,581.0,51.0,440.0,182.0,101.0,138.7,1.04,23.2,48.4,88.0,72.6,3.0,2911.0,2790.0,1295.0,216.5,1.51,0.8,331.0,131.0,6.0,50.2,Skye,43.0,79.0,53.2,1.1,137.3,217.2,2.0,Split,53.0,Yoru,10.0,17.0,29.4,0.97,134.9,213.4,13.0,Abyss,36.0,Clove,7.6,15.0,46.7,0.96,156.2,242.6,22.0,Fracture,50.0,Duelist,38.9,14.21,1.21,602 / 610 / 137,Initiator,52.3,57.52,1.68,"1,729 / 1,583 / 929",Controller,50.0,13.13,1.46,423 / 423 / 195,Sentinel,36.4,4.7,1.1,157 / 174 / 34,Vandal,Assault Rifles,42.0,51.0,7.0,1596.0,Phantom,Assault Rifles,35.0,61.0,4.0,236.0,Stinger,SMGs,21.0,70.0,9.0,142.0,Fracture,57.7,15.11,Haven,54.5,12.1,Lotus,53.8,14.12,Bind,52.0,13.12,Split,50.0,13.13,Abyss,39.3,11.16,Pearl,34.5,10.19
9,flame666#XXXTT,br,Radiant,354.0,218.0,760.0,103.0,55.0,150.5,1.0,27.3,50.5,52.0,67.4,2.0,1696.0,1695.0,434.0,226.4,1.26,0.8,266.0,74.0,4.0,49.9,Reyna,19.0,35.0,57.1,1.16,160.1,242.7,17.0,Pearl,67.0,Clove,11.0,20.0,45.0,0.91,152.1,231.4,13.0,Split,75.0,Iso,10.0,19.0,47.4,0.92,151.0,217.4,0.0,Lotus,75.0,Duelist,55.3,42.34,1.28,"1,246 / 1,199 / 283",Sentinel,14.3,1.6,1.1,101 / 111 / 21,Controller,45.0,9.9,1.24,349 / 385 / 130,,,,,,Vandal,Assault Rifles,39.0,57.0,4.0,1084.0,Ghost,Sidearms,43.0,55.0,2.0,127.0,Sheriff,Sidearms,50.0,49.0,1.0,116.0,Pearl,73.3,11.4,Fracture,50.0,8.8,Lotus,50.0,7.6,Abyss,50.0,9.9,Haven,47.1,8.8,Split,45.5,5.6,Bind,33.3,4.8
