,nickname,region,rank,rank_rr,rank_rating,level,match,playtime_hours,damage_round,kill_death_ratio,headshot_rate,winrate,win,kast,damage_roun,kills,death,assist,acs,kad_ratio,kill_round_ratio,first_blood,flawless_round,aces,round_win,agent1,agent1_hours,matches1,win_rate1,k/d1,adr1,acs1,average_ddealt_round1,best_map1,map1_wr,agent2,agent2_hours,matches2,win_rate2,k/d2,adr2,acs2,average_ddealt_round2,best_map2,map2_wr,agent3,agent3_hours,matches3,win_rate3,k/d3,adr3,acs3,average_ddealt_round3,best_map3,map3_wr,role1,win_rate1.1,win_lose1,kda_rate1,kda1,role2,win_rate2.1,win_lose2,kda_rate2,kda2,role3,win_rate3.1,win_lose3,kda_rate3,kda3,role4,win_rate4,win_lose4,kda_rate4,kda4,weapon_name1,weapon_type1,head_rate1,body_rate1,legs_rate1,kills1,weapon_name2,weapon_type2,head_rate2,body_rate2,legs_rate2,kills2,weapon_name3,weapon_type3,head_rate3,body_rate3,legs_rate3,kills3,map_name1,win_rate1.2,win_lose1.1,map_name2,win_rate2.2,win_lose2.1,map_name3,win_rate3.2,win_lose3.1,map_name4,win_rate4.1,win_lose4.1,map_name5,win_rate5,win_lose5,map_name6,win_rate6,win_lose6,map_name7,win_rate7,win_lose7
0,ttv Whiith1#alo,latam,Radiant,596.0,14.0,119.0,220.0,116.0,156.3,1.13,24.0,52.3,115.0,73.2,15.0,3838.0,3406.0,1091.0,239.2,1.45,0.8,671.0,164.0,7.0,51.1,Jett,41.0,80.0,56.2,1.2,160.5,250.1,21.0,Fracture,65.0,Clove,27.0,50.0,44.0,0.98,153.7,234.0,0.0,Abyss,55.0,Raze,11.0,22.0,45.5,1.17,173.9,258.5,31.0,Bind,38.0,Sentinel,50.0,10.9,1.5,323 / 277 / 92,Controller,45.1,23.28,1.45,867 / 881 / 410,Duelist,53.7,73.63,1.42,"2,468 / 2,064 / 459",Initiator,69.2,9.4,1.68,180 / 184 / 130,Vandal,Assault Rifles,36.0,59.0,5.0,2232.0,Ghost,Sidearms,41.0,56.0,3.0,269.0,Operator,Sniper Rifles,8.0,90.0,2.0,256.0,Split,62.5,20.12,Fracture,57.6,19.14,Haven,53.6,15.12,Lotus,51.6,16.15,Pearl,51.5,17.16,Abyss,47.2,17.19,Bind,40.7,11.16
1,ACKRMN#RICH,latam,Radiant,586.0,16.0,516.0,162.0,87.0,142.8,1.1,37.3,54.3,88.0,72.8,14.0,2568.0,2331.0,864.0,211.6,1.47,0.8,288.0,117.0,2.0,50.5,Tejo,13.0,25.0,48.0,0.89,126.4,179.7,4.0,Bind,44.0,Deadlock,11.0,21.0,57.1,1.2,144.5,221.5,21.0,Abyss,67.0,Clove,7.6,15.0,53.3,1.05,150.2,228.1,1.0,Haven,67.0,Sentinel,54.2,26.2,1.46,760 / 651 / 189,Duelist,70.0,14.6,1.55,392 / 296 / 67,Initiator,51.5,35.33,1.4,975 / 987 / 404,Controller,50.0,13.13,1.62,441 / 397 / 204,Vandal,Assault Rifles,53.0,43.0,4.0,1412.0,Ghost,Sidearms,60.0,38.0,2.0,245.0,Phantom,Assault Rifles,46.0,51.0,4.0,218.0,Abyss,72.0,18.7,Bind,62.5,15.8,Split,60.0,15.1,Fracture,55.6,15.12,Pearl,50.0,9.9,Lotus,42.9,9.12,Haven,31.8,7.14
2,333dëvv 愛#mjmj7,latam,Radiant,458.0,46.0,526.0,116.0,60.0,147.6,1.07,33.6,52.6,61.0,74.9,7.0,1926.0,1808.0,752.0,221.4,1.48,0.8,184.0,76.0,4.0,51.0,Clove,18.0,36.0,44.4,1.15,167.0,258.5,11.0,Fracture,43.0,Tejo,8.5,17.0,29.4,0.88,125.7,183.0,13.0,Pearl,67.0,Iso,6.6,13.0,92.3,1.18,162.9,243.2,19.0,Abyss,100.0,Initiator,45.7,16.18,1.46,521 / 519 / 235,Duelist,76.2,16.5,1.42,355 / 319 / 98,Controller,43.9,18.23,1.57,757 / 682 / 316,Sentinel,57.9,11.8,1.38,293 / 288 / 103,Vandal,Assault Rifles,51.0,46.0,3.0,1013.0,Phantom,Assault Rifles,39.0,54.0,6.0,297.0,Sheriff,Sidearms,56.0,40.0,4.0,163.0,Pearl,77.8,14.4,Fracture,55.6,10.8,Split,52.9,9.8,Lotus,50.0,8.8,Haven,47.6,10.1,Abyss,41.7,5.7,Bind,35.7,5.9
3,B Y O B#blood,latam,Radiant,466.0,42.0,506.0,58.0,30.0,161.0,1.2,34.5,56.9,33.0,74.9,26.0,1030.0,859.0,326.0,240.9,1.58,0.9,132.0,44.0,2.0,51.8,Jett,4.4,8.0,50.0,1.22,176.0,266.2,31.0,Pearl,67.0,Sova,4.3,8.0,25.0,1.12,158.1,226.5,29.0,Haven,29.0,Cypher,3.6,6.0,50.0,1.19,143.6,224.8,9.0,Bind,100.0,Duelist,65.0,13.7,1.57,385 / 290 / 70,Controller,60.0,3.2,1.46,107 / 107 / 49,Sentinel,54.5,6.5,1.54,185 / 152 / 49,Initiator,50.0,11.11,1.65,353 / 310 / 158,Vandal,Assault Rifles,47.0,50.0,3.0,585.0,Guardian,Assault Rifles,42.0,56.0,3.0,78.0,Ghost,Sidearms,53.0,47.0,0.0,70.0,Pearl,90.0,9.1,Bind,85.7,6.1,Split,66.7,4.2,Lotus,66.7,6.3,Haven,37.5,3.5,Abyss,28.6,2.5,Fracture,27.3,3.8
4,AUS#2812,latam,Radiant,424.0,61.0,60.0,75.0,39.0,189.9,1.48,38.7,62.7,47.0,74.4,61.0,1568.0,1057.0,297.0,288.9,1.76,1.0,301.0,71.0,4.0,53.2,Iso,8.7,18.0,44.4,1.1,150.0,226.4,20.0,Haven,67.0,Reyna,7.9,15.0,80.0,1.82,222.0,339.0,90.0,Bind,100.0,Breach,3.8,7.0,57.1,1.61,203.9,320.8,81.0,Fracture,100.0,Sentinel,61.9,13.8,1.94,481 / 297 / 95,Duelist,61.5,24.15,1.66,796 / 564 / 142,Controller,100.0,3.0,2.0,59 / 36 / 13,Initiator,58.3,7.5,1.74,232 / 160 / 47,Vandal,Assault Rifles,55.0,41.0,4.0,1049.0,Bulldog,Assault Rifles,48.0,49.0,3.0,106.0,Ghost,Sidearms,47.0,50.0,3.0,95.0,Haven,75.0,9.3,Split,71.4,5.2,Bind,66.7,10.5,Abyss,63.6,7.4,Lotus,62.5,5.3,Fracture,58.3,7.5,Pearl,40.0,4.6
5,Hetzen#1MORE,latam,Radiant,385.0,83.0,541.0,84.0,42.0,136.9,0.92,32.1,52.4,44.0,70.9,8.0,1216.0,1316.0,501.0,206.0,1.3,0.7,145.0,46.0,5.0,48.7,Clove,11.0,22.0,50.0,0.98,153.5,237.9,7.0,Pearl,80.0,Cypher,5.6,11.0,45.5,1.17,149.5,224.3,19.0,Split,80.0,Deadlock,3.5,7.0,42.9,0.87,130.1,194.3,16.0,Abyss,40.0,Initiator,68.4,13.5,1.29,241 / 283 / 123,Controller,51.6,16.15,1.47,474 / 495 / 254,Sentinel,43.8,14.18,1.18,479 / 505 / 118,Duelist,50.0,1.1,0.85,22 / 33 / 6,Vandal,Assault Rifles,42.0,55.0,2.0,771.0,Sheriff,Sidearms,57.0,41.0,1.0,98.0,Ghost,Sidearms,52.0,45.0,2.0,76.0,Split,66.7,8.4,Lotus,61.5,8.5,Pearl,58.3,7.5,Fracture,50.0,6.6,Haven,50.0,5.5,Abyss,42.9,6.8,Bind,36.4,4.6
6,JoeBlack#19cm,latam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,twitch axxweltv#twtz,latam,Radiant,402.0,76.0,143.0,169.0,89.0,148.4,1.14,39.1,59.8,101.0,73.6,12.0,2847.0,2506.0,633.0,223.5,1.39,0.8,400.0,137.0,7.0,52.7,Jett,31.0,60.0,63.3,1.21,154.9,232.9,20.0,Abyss,73.0,Clove,15.0,29.0,65.5,1.1,157.7,240.3,8.0,Split,86.0,Reyna,9.1,18.0,55.6,1.21,154.4,234.3,19.0,Fracture,67.0,Sentinel,40.0,8.11,1.1,277 / 299 / 53,Initiator,62.5,15.8,1.43,377 / 357 / 134,Controller,66.7,20.9,1.53,535 / 490 / 213,Duelist,61.1,58.36,1.39,"1,658 / 1,360 / 233",Vandal,Assault Rifles,54.0,43.0,3.0,1667.0,Sheriff,Sidearms,61.0,38.0,1.0,296.0,Phantom,Assault Rifles,51.0,45.0,4.0,144.0,Pearl,76.2,16.5,Fracture,63.3,19.11,Split,62.5,15.9,Abyss,61.5,16.9,Haven,53.6,15.12,Bind,50.0,8.8,Lotus,50.0,12.1
8,luffy#neakz,latam,Radiant,347.0,103.0,483.0,64.0,34.0,137.4,1.0,33.7,56.2,36.0,74.0,0.0,1004.0,1005.0,428.0,204.3,1.42,0.7,64.0,36.0,1.0,51.5,Tejo,8.7,17.0,41.2,1.04,137.3,202.4,9.0,Fracture,50.0,Clove,6.7,12.0,50.0,0.87,140.5,207.0,20.0,Lotus,29.0,Skye,5.8,10.0,70.0,0.99,134.3,203.8,2.0,Bind,67.0,Initiator,57.5,23.16,1.47,604 / 599 / 278,Controller,46.2,6.7,1.29,201 / 235 / 102,Duelist,62.5,5.3,1.3,138 / 136 / 39,Sentinel,66.7,2.1,2.0,61 / 35 / 9,Vandal,Assault Rifles,46.0,51.0,3.0,706.0,Guardian,Assault Rifles,47.0,50.0,3.0,79.0,Ghost,Sidearms,61.0,38.0,1.0,69.0,Bind,75.0,6.2,Haven,70.0,7.3,Abyss,62.5,5.3,Split,62.5,5.2,Pearl,60.0,6.4,Fracture,40.0,4.6,Lotus,30.0,3.7
9,glorious#LQR,latam,Radiant,326.0,123.0,433.0,214.0,115.0,144.5,1.08,30.0,53.7,115.0,73.4,9.0,3378.0,3126.0,1346.0,214.8,1.51,0.8,397.0,192.0,6.0,52.5,Breach,18.0,34.0,50.0,0.99,129.3,194.8,2.0,Fracture,50.0,Gekko,12.0,23.0,82.6,1.18,144.8,207.4,17.0,Lotus,87.0,Clove,11.0,21.0,52.4,1.09,162.7,248.5,8.0,Split,54.0,Sentinel,59.4,19.12,1.43,495 / 450 / 148,Initiator,61.7,58.33,1.56,"1,389 / 1,323 / 680",Controller,41.7,20.26,1.55,784 / 755 / 388,Duelist,45.0,18.21,1.4,710 / 598 / 130,Vandal,Assault Rifles,43.0,53.0,3.0,1895.0,Phantom,Assault Rifles,34.0,60.0,6.0,398.0,Guardian,Assault Rifles,43.0,55.0,2.0,235.0,Lotus,73.5,25.9,Bind,60.7,17.9,Abyss,60.7,17.9,Fracture,51.4,18.16,Split,50.0,15.14,Pearl,48.3,14.14,Haven,30.0,9.21
