,nickname,region,rank,rank_rr,rank_rating,level,match,playtime_hours,damage_round,kill_death_ratio,headshot_rate,winrate,win,kast,damage_roun,kills,death,assist,acs,kad_ratio,kill_round_ratio,first_blood,flawless_round,aces,round_win,agent1,agent1_hours,matches1,win_rate1,k/d1,adr1,acs1,average_ddealt_round1,best_map1,map1_wr,agent2,agent2_hours,matches2,win_rate2,k/d2,adr2,acs2,average_ddealt_round2,best_map2,map2_wr,agent3,agent3_hours,matches3,win_rate3,k/d3,adr3,acs3,average_ddealt_round3,best_map3,map3_wr,role1,win_rate1.1,win_lose1,kda_rate1,kda1,role2,win_rate2.1,win_lose2,kda_rate2,kda2,role3,win_rate3.1,win_lose3,kda_rate3,kda3,role4,win_rate4,win_lose4,kda_rate4,kda4,weapon_name1,weapon_type1,head_rate1,body_rate1,legs_rate1,kills1,weapon_name2,weapon_type2,head_rate2,body_rate2,legs_rate2,kills2,weapon_name3,weapon_type3,head_rate3,body_rate3,legs_rate3,kills3,map_name1,win_rate1.2,win_lose1.1,map_name2,win_rate2.2,win_lose2.1,map_name3,win_rate3.2,win_lose3.1,map_name4,win_rate4.1,win_lose4.1,map_name5,win_rate5,win_lose5,map_name6,win_rate6,win_lose6,map_name7,win_rate7,win_lose7
0,articuno#ayra,na,Radiant,1032.0,1.0,1068.0,227.0,124.0,174.8,1.36,32.1,63.9,145.0,77.5,44.0,4538.0,3336.0,1570.0,266.0,1.83,0.9,573.0,220.0,16.0,54.5,Vyse,22.0,39.0,74.4,1.58,183.2,269.1,68.0,Lotus,83.0,Tejo,17.0,33.0,57.6,1.26,158.1,236.6,38.0,Lotus,60.0,Clove,14.0,27.0,81.5,1.37,201.1,312.7,44.0,Haven,100.0,Sentinel,72.1,31.12,1.99,889 / 584 / 275,Duelist,57.7,45.31,1.61,"1,610 / 1,215 / 345",Controller,75.0,24.8,1.87,756 / 545 / 264,Initiator,60.8,45.28,1.98,"1,283 / 992 / 686",Vandal,Assault Rifles,48.0,49.0,3.0,2320.0,Phantom,Assault Rifles,44.0,52.0,4.0,856.0,Ghost,Sidearms,47.0,52.0,2.0,360.0,Lotus,67.9,19.8,Split,67.7,21.9,Pearl,66.7,20.1,Fracture,64.9,24.13,Haven,63.9,23.13,Bind,60.6,20.13,Abyss,56.2,18.13
1,ttv 1zerona#harpr,na,Radiant,675.0,31.0,733.0,174.0,93.0,156.3,1.17,32.7,57.5,100.0,74.8,22.0,3115.0,2660.0,973.0,239.2,1.54,0.8,405.0,127.0,6.0,52.4,Vyse,13.0,25.0,68.0,1.38,168.2,258.0,41.0,Abyss,82.0,Sova,11.0,21.0,47.6,1.08,152.4,227.8,19.0,Haven,50.0,Clove,8.2,16.0,75.0,1.14,171.4,267.7,14.0,Lotus,100.0,Initiator,52.8,38.34,1.49,"1,142 / 1,075 / 461",Controller,66.7,14.6,1.58,403 / 355 / 159,Sentinel,59.0,23.15,1.66,756 / 567 / 185,Duelist,59.5,25.17,1.48,814 / 663 / 168,Vandal,Assault Rifles,49.0,48.0,3.0,1409.0,Phantom,Assault Rifles,38.0,56.0,6.0,702.0,Sheriff,Sidearms,62.0,36.0,2.0,228.0,Lotus,69.2,18.8,Split,66.7,18.9,Abyss,60.0,15.9,Fracture,56.0,14.11,Haven,52.4,11.1,Bind,48.1,13.14,Pearl,47.8,11.11
2,MU geeza#caide,na,Radiant,724.0,24.0,724.0,152.0,81.0,163.2,1.25,40.6,59.2,90.0,75.7,29.0,2814.0,2246.0,821.0,247.9,1.62,0.9,380.0,124.0,5.0,53.8,Cypher,17.0,34.0,64.7,1.43,176.8,267.4,49.0,Haven,88.0,Breach,13.0,26.0,61.5,1.21,157.9,242.8,22.0,Lotus,80.0,Vyse,10.0,21.0,66.7,1.32,171.0,258.8,43.0,Pearl,80.0,Sentinel,61.2,41.26,1.63,"1,254 / 942 / 284",Initiator,53.2,33.28,1.62,"1,094 / 939 / 429",Duelist,68.2,15.6,1.56,453 / 353 / 97,Controller,100.0,1.0,2.0,13 / 12 / 11,Vandal,Assault Rifles,53.0,44.0,3.0,1701.0,Guardian,Assault Rifles,62.0,38.0,1.0,257.0,Phantom,Assault Rifles,44.0,52.0,4.0,224.0,Pearl,78.3,18.5,Lotus,69.6,16.6,Haven,69.6,16.7,Split,54.2,13.11,Abyss,50.0,9.9,Bind,47.1,8.9,Fracture,41.7,10.13
3,M80 wedid#0702,na,Radiant,671.0,35.0,757.0,251.0,140.0,132.0,1.02,32.4,52.6,132.0,74.2,3.0,3800.0,3739.0,1639.0,197.4,1.45,0.7,363.0,179.0,2.0,50.7,Vyse,32.0,57.0,56.1,1.06,134.1,197.5,8.0,Pearl,78.0,Tejo,24.0,44.0,59.1,1.06,137.9,204.6,10.0,Split,69.0,Breach,21.0,39.0,46.2,1.03,129.1,198.6,2.0,Lotus,67.0,Controller,43.9,18.22,1.38,585 / 629 / 281,Sentinel,55.7,49.39,1.36,"1,387 / 1,307 / 391",Duelist,50.0,1.1,0.8,19 / 30 / 5,Initiator,53.3,64.56,1.56,"1,809 / 1,773 / 962",Vandal,Assault Rifles,46.0,49.0,4.0,1993.0,Phantom,Assault Rifles,37.0,56.0,6.0,625.0,Sheriff,Sidearms,68.0,31.0,1.0,348.0,Bind,60.0,21.14,Lotus,60.0,21.14,Split,56.8,21.15,Pearl,56.4,22.17,Abyss,48.3,14.15,Haven,45.0,18.22,Fracture,41.7,15.21
4,P0PPIN#4528,na,Radiant,695.0,28.0,850.0,147.0,76.0,147.2,1.08,29.8,60.5,89.0,72.1,14.0,2440.0,2258.0,853.0,226.4,1.46,0.8,438.0,104.0,8.0,53.1,Sova,23.0,45.0,71.1,1.14,148.2,224.3,19.0,Haven,71.0,Skye,7.7,15.0,46.7,1.04,138.9,219.0,13.0,Bind,46.0,Viper,7.6,15.0,66.7,1.17,156.3,240.3,26.0,Split,67.0,Initiator,60.0,51.34,1.53,"1,378 / 1,268 / 556",Sentinel,54.2,13.11,1.25,368 / 346 / 65,Controller,63.6,14.8,1.58,407 / 367 / 172,Duelist,68.8,11.5,1.25,287 / 277 / 60,Vandal,Assault Rifles,50.0,46.0,4.0,884.0,Phantom,Assault Rifles,43.0,53.0,4.0,586.0,Classic,Sidearms,44.0,54.0,2.0,122.0,Haven,72.7,16.6,Abyss,72.0,18.7,Pearl,64.7,11.6,Split,61.9,13.8,Lotus,59.1,13.9,Fracture,50.0,12.12,Bind,37.5,6.1
5,M80 bdog#858,na,Radiant,658.0,44.0,575.0,176.0,97.0,157.3,1.07,27.8,52.3,92.0,76.7,8.0,3214.0,3003.0,1553.0,245.6,1.59,0.9,373.0,121.0,10.0,51.0,Clove,66.0,118.0,50.0,1.05,163.2,256.6,5.0,Pearl,67.0,Breach,9.8,19.0,57.9,1.22,142.5,216.7,19.0,Pearl,50.0,Jett,7.4,13.0,76.9,1.08,139.8,219.4,11.0,Haven,75.0,Controller,50.0,66.64,1.57,"2,506 / 2,375 / 1,230",Sentinel,25.0,1.3,1.22,61 / 60 / 12,Duelist,66.7,12.6,1.31,307 / 286 / 67,Initiator,59.1,13.9,2.07,340 / 282 / 244,Phantom,Assault Rifles,40.0,57.0,3.0,1910.0,Vandal,Assault Rifles,44.0,52.0,3.0,237.0,Frenzy,Sidearms,30.0,65.0,5.0,151.0,Pearl,64.0,16.9,Split,58.3,14.9,Bind,52.2,12.11,Fracture,52.0,13.12,Lotus,51.9,14.12,Abyss,48.0,12.13,Haven,40.7,11.16
6,Lethal#Ethan,na,Radiant,524.0,145.0,627.0,150.0,82.0,148.8,1.01,31.5,51.3,77.0,68.7,4.0,2526.0,2503.0,670.0,224.3,1.28,0.8,515.0,84.0,2.0,50.6,Reyna,19.0,34.0,50.0,1.04,151.8,231.1,4.0,Fracture,67.0,Cypher,16.0,30.0,56.7,0.99,141.5,214.0,3.0,Haven,64.0,Vyse,12.0,22.0,50.0,1.22,171.3,250.3,33.0,Abyss,56.0,Duelist,42.3,22.29,1.2,927 / 923 / 178,Controller,77.8,7.2,1.49,167 / 163 / 76,Initiator,52.9,9.8,1.24,216 / 258 / 105,Sentinel,54.2,39.32,1.32,"1,216 / 1,159 / 311",Vandal,Assault Rifles,48.0,49.0,3.0,1500.0,Ghost,Sidearms,53.0,46.0,1.0,222.0,Sheriff,Sidearms,56.0,42.0,2.0,181.0,Abyss,61.1,11.7,Haven,57.9,11.7,Pearl,52.4,11.1,Fracture,52.2,12.1,Lotus,50.0,12.12,Split,45.5,10.12,Bind,43.5,10.13
7,SR PA1NT#Peak,na,Immortal 3,426.0,308.0,677.0,98.0,50.0,156.2,1.08,30.2,54.1,53.0,72.8,11.0,1709.0,1581.0,439.0,238.5,1.36,0.8,271.0,71.0,2.0,51.6,Raze,18.0,36.0,47.2,1.13,164.5,249.8,21.0,Lotus,57.0,Jett,9.7,19.0,36.8,1.04,150.5,233.6,5.0,Pearl,43.0,Neon,7.0,14.0,71.4,0.98,143.9,222.6,8.0,Haven,80.0,Initiator,85.7,6.1,1.55,106 / 100 / 49,Duelist,49.4,40.41,1.32,"1,431 / 1,333 / 326",Controller,80.0,4.1,1.94,111 / 79 / 42,Sentinel,60.0,3.2,1.2,61 / 69 / 22,Vandal,Assault Rifles,50.0,48.0,2.0,951.0,Sheriff,Sidearms,61.0,39.0,0.0,154.0,Phantom,Assault Rifles,37.0,58.0,5.0,119.0,Abyss,66.7,8.4,Pearl,63.6,7.4,Lotus,57.9,11.8,Fracture,55.6,10.8,Split,54.5,6.5,Bind,41.7,5.7,Haven,40.0,6.9
8,CSU wyyu#1of1,na,Radiant,463.0,236.0,530.0,132.0,72.0,158.6,1.05,28.2,51.5,68.0,72.0,11.0,2331.0,2220.0,533.0,238.0,1.29,0.8,393.0,97.0,3.0,50.3,Raze,29.0,51.0,51.0,1.02,160.7,239.1,10.0,Bind,54.0,Jett,17.0,31.0,48.4,1.02,147.0,224.5,5.0,Pearl,60.0,Iso,14.0,28.0,64.3,1.13,163.0,244.8,20.0,Abyss,83.0,Duelist,51.2,65.59,1.3,"2,255 / 2,126 / 505",Controller,75.0,3.1,1.22,71 / 81 / 28,Initiator,0.0,0.1,0.38,5 / 13 / 0,,,,,,Vandal,Assault Rifles,39.0,58.0,4.0,1448.0,Phantom,Assault Rifles,37.0,59.0,4.0,212.0,Sheriff,Sidearms,66.0,32.0,2.0,175.0,Fracture,58.8,10.6,Bind,58.8,10.7,Haven,54.5,12.1,Abyss,52.9,9.8,Lotus,47.8,11.11,Pearl,47.1,8.9,Split,42.1,8.1
9,add3r#jason,na,Radiant,521.0,149.0,568.0,76.0,41.0,154.8,1.17,36.7,61.8,47.0,75.6,23.0,1344.0,1151.0,397.0,230.0,1.51,0.8,140.0,66.0,4.0,53.4,Cypher,18.0,35.0,48.6,1.12,150.9,222.1,19.0,Lotus,67.0,Vyse,15.0,27.0,77.8,1.23,151.7,226.6,27.0,Pearl,89.0,Clove,2.1,4.0,75.0,1.15,179.7,270.5,14.0,Lotus,50.0,Sentinel,61.3,38.23,1.5,"1,074 / 922 / 309",Controller,75.0,3.1,1.54,82 / 71 / 27,Initiator,80.0,4.1,1.76,87 / 72 / 40,Duelist,40.0,2.3,1.42,101 / 86 / 21,Vandal,Assault Rifles,51.0,47.0,2.0,872.0,Ghost,Sidearms,55.0,44.0,2.0,117.0,Guardian,Assault Rifles,57.0,41.0,2.0,85.0,Bind,87.5,7.1,Pearl,72.7,8.3,Lotus,66.7,8.3,Fracture,60.0,6.4,Haven,58.3,7.5,Abyss,58.3,7.5,Split,36.4,4.7
